Project,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective,
antlr4,L134,Tool,org.antlr.v4.Tool,L500,L103,C:\Users\domco\Desktop\DP\repos\antlr4\tool\src\org\antlr\v4\Tool.java,89,1,859,2,0,0,0,0,0,0,0,0,2,6,6,142,32,43,35,47,84,0.235294,0.168693,111,60,8,26,0.163793,114,0,0,1,1,0,547,731,32,5,32,5,37,27,33,0,37,329,27,33,0,582,771,39,5,39,5,41,30,37,0,41,342,30,37,0,0,3,113,6,94,8,0,71,1,8,3,2,80,0,4,0,0,18,0,21,1,
antlr4,L125,Antlr4ErrorLog,org.antlr.mojo.antlr4.Antlr4ErrorLog,L107,L103,C:\Users\domco\Desktop\DP\repos\antlr4\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4ErrorLog.java,47,1,124,2,0.751092,1,6,2,0.384615,0.604651,30,26,1,1,1,9,5,1,1,4,8,1,0.426667,32,32,5,0,0.426667,32,1,1,0,0,1,43,78,3,0,3,0,4,0,4,0,4,22,0,4,0,43,78,3,0,3,0,4,0,4,0,4,22,0,4,0,0,0,17,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
antlr4,L199,Antlr4Mojo,org.antlr.mojo.antlr4.Antlr4Mojo,L107,L103,C:\Users\domco\Desktop\DP\repos\antlr4\antlr4-maven-plugin\src\main\java\org\antlr\mojo\antlr4\Antlr4Mojo.java,77,1,505,2,0,0,0,0,0,0,0,0,1,2,2,46,5,1,0,5,15,0.333333,0.359133,116,95,2,4,0.336111,121,0,0,0,0,0,207,387,16,6,16,6,10,0,5,0,10,109,0,5,0,239,429,48,12,16,7,13,0,8,0,50,126,27,41,0,0,1,38,3,13,4,0,9,0,2,0,1,26,0,2,0,0,1,0,10,0,
antlr4,L643,ANTLRFileStream,org.antlr.v4.runtime.ANTLRFileStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ANTLRFileStream.java,42,1,86,2,0,0,0,0,0,0,0,0,1,2,2,7,1,1,2,1,5,0.2,0.0888889,4,4,1,4,0.0888889,4,3,3,1,1,1,41,45,9,3,1,1,4,0,4,0,26,19,5,26,0,41,45,9,3,1,1,4,0,4,0,26,19,5,26,0,0,2,13,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,2,0,
antlr4,L645,ANTLRInputStream,org.antlr.v4.runtime.ANTLRInputStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ANTLRInputStream.java,47,1,246,2,0,0,0,0,0,0,0,0,3,3,3,37,3,12,59,0,22,0.304348,0.259459,48,25,7,16,0.259459,48,2,2,1,2,1,137,200,8,2,6,2,22,3,22,0,22,62,5,22,0,137,200,8,2,6,2,22,3,22,0,22,62,5,22,0,0,0,41,1,11,5,0,4,1,0,0,0,33,2,0,0,0,1,0,7,0,
antlr4,L3763,BailErrorStrategy,org.antlr.v4.runtime.BailErrorStrategy,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\BailErrorStrategy.java,63,1,96,2,0,0,0,0,0,0,0,0,3,1,1,5,7,2,0,4,7,1,0.637931,37,37,4,0,0.637931,37,2,2,0,0,1,21,34,3,6,0,0,3,0,3,0,27,11,0,10,0,21,34,3,6,0,0,3,0,3,0,27,11,0,10,0,0,0,3,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,
antlr4,L3797,BaseErrorListener,org.antlr.v4.runtime.BaseErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\BaseErrorListener.java,46,1,87,2,0,0,0,0,0,0,0,0,4,0,0,4,8,4,0,0,4,0.2,0.152174,7,7,1,4,0.152174,7,1,1,4,5,1,39,42,0,0,0,0,4,0,4,0,4,0,0,4,0,39,42,0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,16,0,4,0,0,0,1,0,0,0,11,4,0,0,0,0,0,4,0,
antlr4,L3831,BufferedTokenStream,org.antlr.v4.runtime.BufferedTokenStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\BufferedTokenStream.java,53,1,479,2,0,0,0,0,0,0,0,0,3,3,3,94,9,11,57,9,46,0.344828,0.286082,111,98,10,19,0.286082,111,2,2,1,2,1,277,427,6,14,4,14,37,0,28,1,37,176,2,28,1,277,427,6,14,4,14,37,0,28,1,37,176,2,28,1,0,1,66,1,29,4,0,26,1,0,0,1,57,0,0,0,0,0,0,8,1,
antlr4,L3998,CommonToken,org.antlr.v4.runtime.CommonToken,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\CommonToken.java,38,1,297,2,0,0,0,0,0,0,0,0,1,1,1,31,8,19,11,16,39,0.166667,0.350649,81,80,4,20,0.350649,81,2,2,12,12,1,150,260,16,10,10,10,23,0,23,8,23,62,6,23,8,150,260,16,10,10,10,23,0,23,8,23,62,6,23,8,0,0,51,1,3,0,0,3,0,0,1,0,39,0,1,1,0,0,0,10,0,
antlr4,L4103,CommonTokenFactory,org.antlr.v4.runtime.CommonTokenFactory,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\CommonTokenFactory.java,40,1,111,2,0,0,0,0,0,0,0,0,2,2,1,7,6,1,1,7,11,0.6,0.628571,44,44,3,2,0.628571,44,1,1,0,0,1,26,72,2,0,2,0,4,1,4,0,4,11,1,4,0,26,72,2,0,2,0,4,1,4,0,4,11,1,4,0,0,0,11,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,5,0,
antlr4,L3178,CommonTokenStream,org.antlr.v4.runtime.CommonTokenStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\CommonTokenStream.java,59,1,146,2,0,0,0,0,0,0,0,0,1,2,2,17,4,13,56,8,14,0.8,0.518868,55,48,4,1,0.518868,55,3,3,1,1,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,0,0,9,0,8,0,0,8,0,0,0,0,7,0,0,0,0,0,0,2,0,
antlr4,L4165,ConsoleErrorListener,org.antlr.v4.runtime.ConsoleErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ConsoleErrorListener.java,36,1,65,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,0.59375,19,19,2,0,0.59375,19,2,2,0,0,1,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
antlr4,L3765,DefaultErrorStrategy,org.antlr.v4.runtime.DefaultErrorStrategy,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\DefaultErrorStrategy.java,45,1,762,2,0,0,0,0,0,0,0,0,1,3,2,61,23,2,0,41,65,1,0.62828,431,383,8,0,0.62828,431,1,1,1,1,1,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,0,0,14,1,9,2,0,7,0,1,3,0,8,0,0,0,0,1,0,2,0,
antlr4,L4433,DiagnosticErrorListener,org.antlr.v4.runtime.DiagnosticErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\DiagnosticErrorListener.java,63,1,180,2,0,0,0,0,0,0,0,0,1,1,1,15,11,2,4,5,12,0.5,0.365079,46,46,3,3,0.365079,46,2,2,1,1,1,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,0,0,13,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,
